iter	Passed	Remaining
0	4	438
1	7	388
2	11	371
3	15	381
4	19	376
5	23	364
6	27	367
7	31	365
8	34	351
9	38	348
10	42	340
11	45	334
12	48	324
13	51	316
14	54	308
15	57	301
16	60	293
17	62	286
18	66	281
19	68	275
20	72	271
21	74	265
22	77	259
23	80	255
24	83	251
25	86	245
26	88	240
27	91	235
28	94	231
29	97	226
30	100	223
31	103	219
32	105	214
33	108	210
34	111	206
35	113	202
36	116	198
37	118	194
38	121	189
39	124	186
40	126	182
41	129	179
42	132	175
43	135	172
44	138	168
45	140	165
46	143	162
47	146	158
48	149	155
49	152	152
50	155	148
51	157	145
52	159	141
53	162	138
54	165	135
55	167	131
56	170	128
57	172	125
58	175	121
59	178	118
60	181	115
61	183	112
62	186	109
63	189	106
64	193	104
65	195	100
66	198	97
67	201	94
68	204	91
69	206	88
70	209	85
71	212	82
72	215	79
73	218	76
74	220	73
75	223	70
76	226	67
77	228	64
78	231	61
79	234	58
80	237	55
81	239	52
82	242	49
83	245	46
84	248	43
85	250	40
86	253	37
87	256	34
88	258	31
89	262	29
90	265	26
91	268	23
92	270	20
93	273	17
94	276	14
95	279	11
96	282	8
97	284	5
98	287	2
99	289	0
